image_fn,label_fn,tp,fp,fn,tn,iou,recall,precision
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,0,0,0,47127808,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,0,0,0,47127808,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,13337,6672,12586,46966765,0.40917318607148334,0.5144852061875554,0.6665500524763857
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,7531,2989,32985,47001515,0.17310653947822088,0.18587718432224307,0.7158745247148289
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,0,0,0,47045020,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,21302,3286,7329,46802155,0.6674186170379421,0.7440187209667842,0.8663575727997397
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,0,1557,0,46915123,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,90826,17429,10515,46587214,0.7647217310768712,0.8962414027886048,0.839000508059674
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,73754,18266,15267,46689801,0.687445822886277,0.8285011401804069,0.8014996739839165
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37076/m_3707608_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37076/m_3707608_ne_18_1_20170611.tif,0,180,0,47173324,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807557_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807557_se_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807557_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807557_sw_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807558_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807558_se_18_1_20170611.tif,49428,7289,20477,46793862,0.6403088322926652,0.7070738859881267,0.8714847400250366
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807558_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807558_sw_18_1_20170611.tif,10705,1696,5350,46981609,0.6030646160779675,0.6667704764870757,0.8632368357390533
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807559_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807559_se_18_1_20170611.tif,94265,13049,41244,46676874,0.634533313587959,0.6956364521913674,0.8784035633747693
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807559_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807559_sw_18_1_20170611.tif,55750,10631,22412,46782263,0.6278648091628845,0.713262199022543,0.8398487519018997
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807560_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807560_se_18_1_20170611.tif,254620,22844,45752,46382768,0.787770407405574,0.8476822073961621,0.9176685984488078
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807560_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807560_sw_18_1_20170611.tif,111024,7642,25476,46607394,0.7702404573268027,0.8133626373626374,0.9356007618020326
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807561_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807561_se_18_1_20170611.tif,30707,2982,13300,46494211,0.653493370788908,0.6977753539209671,0.9114844608032295
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807561_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807561_sw_18_1_20170611.tif,89556,14352,24059,46495589,0.699836676643197,0.7882409893059895,0.8618778149901837
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807562_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807562_se_18_1_20170611.tif,0,0,0,46458916,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807562_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807562_sw_18_1_20170611.tif,0,30,0,46541170,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807563_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807563_sw_18_1_20170611.tif,0,0,0,46368028,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38076/m_3807664_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38076/m_3807664_se_18_1_20170611.tif,0,0,0,47164936,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_nw_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_nw_18_1_20160626.tif,0,0,0,46795659,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_se_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_se_18_1_20160626.tif,0,1442,0,46769565,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_sw_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_sw_18_1_20160626.tif,0,0,0,46833624,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707502_se_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707502_se_18_1_20160626.tif,0,317,0,46645576,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707503_ne_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707503_ne_18_1_20160626.tif,20267,3720,7209,46473164,0.6496666239261444,0.7376255641286942,0.8449159961645891
