county_fips,predicted_barns,predicted_barn_area,total_agcensus_facilities,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (1 TO 49 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (50 TO 99 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (100 TO 399 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (400 TO 3,199 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (3,200 TO 9,999 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (10,000 TO 19,999 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (20,000 TO 49,999 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (50,000 TO 99,999 HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY: (100,000 OR MORE HEAD)","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 1 head","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 50 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 100 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 400 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 3,200 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 10,000 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 20,000 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 50,000 heads","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY >= 100,000 heads"
39071,51,96193.23081371126,183.0,122.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,157.0,35.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
06003,7,9538.096811134608,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12033,90,137188.03435459587,131.0,78.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,93.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
17101,97,275203.25185428536,21.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28153,487,1165391.0784385458,107.0,35.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,44.0,9.0,7.0,7.0,7.0,7.0,5.0,2.0,1.0
28141,49,86829.4902312421,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30089,1,2477.7276798561365,118.0,90.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36001,11,10295.879402319917,127.0,80.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
42105,59,101336.4142642753,96.0,73.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29077,37,48144.02035974547,262.0,225.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
29205,65,99465.5011350094,34.0,20.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0,7.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0
02100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04015,217,333242.5899043965,66.0,32.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,15.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
13143,119,356823.54292643483,89.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21145,20,44811.58317454885,50.0,35.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
27133,173,341733.55047179665,37.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41047,68,140587.02038034788,734.0,503.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,553.0,50.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0
47125,25,54964.232630795355,154.0,91.0,13.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,114.0,23.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0
48243,172,263508.98864637426,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55061,31,76107.01042716435,66.0,43.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
05051,70,148455.52245538088,75.0,54.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,62.0,8.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
06109,61,147645.85422405432,130.0,82.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
17093,50,93466.92994718267,40.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20133,22,23991.048817138428,50.0,43.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
19083,453,777156.0725821988,51.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,39.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
27109,92,145602.0557333734,126.0,104.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27087,5,10369.231446944263,16.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31009,83,173269.94058882282,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27153,94,262904.83996605384,241.0,145.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,166.0,21.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0
42113,10,13882.99074001877,46.0,27.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
46035,48,71232.31356878951,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48397,31,65477.91989068299,96.0,64.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
