image_fn,label_fn,tp,fp,fn,tn,iou,recall,precision
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,0,25,0,47082087,0.0,nan,0.0
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,0,0,0,47127808,nan,nan,nan
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,0,145,0,47127663,0.0,nan,0.0
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,3723,1918,22200,46971519,0.13372364498401637,0.14361763684758708,0.6599893635880163
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,13950,40803,26566,46963701,0.17154662501998302,0.34430842136439926,0.25478055996931676
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,0,27,0,47044993,0.0,nan,0.0
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,14667,2339,13964,46803102,0.47358734258960283,0.5122769026579581,0.8624603081265436
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,0,1085,0,46915595,0.0,nan,0.0
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,3671,9867,97670,46594776,0.03301021509243939,0.03622423303500064,0.2711626532722706
https://landcover.blob.core.windows.net/poultry/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,25558,3608,63463,46704459,0.27591790907815045,0.2871007964412891,0.8762943152986354
