image_fn,label_fn,tp,fp,fn,tn,iou,recall,precision
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_ne_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_nw_18_1_20170611.tif,0,0,0,47127808,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707501_se_18_1_20170611.tif,0,0,0,47127808,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_ne_18_1_20170611.tif,16734,9756,9189,46963681,0.46901538720255614,0.6455271380627242,0.6317100792751982
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_nw_18_1_20170611.tif,33246,5346,7270,46999158,0.7249138720509354,0.8205647151742521,0.8614738805970149
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707502_sw_18_1_20170611.tif,0,0,0,47045020,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_ne_18_1_20170611.tif,24813,7131,3818,46798310,0.6938370337229461,0.8666480388390206,0.7767655897821187
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707503_nw_18_1_20170611.tif,0,10826,0,46905854,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_ne_18_1_20170611.tif,96208,23470,5133,46581173,0.7708294941952232,0.9493492268677041,0.8038904393455772
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37075/m_3707504_nw_18_1_20170611.tif,84129,32342,4892,46675725,0.6932013875728187,0.9450466743802024,0.7223171433232307
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/37076/m_3707608_ne_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/37076/m_3707608_ne_18_1_20170611.tif,0,0,0,47173504,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807557_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807557_se_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807557_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807557_sw_18_1_20170611.tif,0,0,0,47082112,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807558_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807558_se_18_1_20170611.tif,58827,15250,11078,46785901,0.6908226175797076,0.8415277877118947,0.7941331317412962
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807558_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807558_sw_18_1_20170611.tif,14424,10314,1631,46972991,0.5470059539610906,0.8984117097477421,0.583070579674994
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807559_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807559_se_18_1_20170611.tif,113664,31727,21845,46658196,0.6796622736731326,0.8387929952992053,0.7817815408106417
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807559_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807559_sw_18_1_20170611.tif,67591,18506,10571,46774388,0.6992075971365912,0.8647552519126942,0.7850563898858265
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807560_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807560_se_18_1_20170611.tif,283621,40297,16751,46365315,0.8325412643944708,0.944232485051869,0.8755950580085083
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807560_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807560_sw_18_1_20170611.tif,123503,13998,12997,46601038,0.8206288455660541,0.9047838827838828,0.8981971040210617
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807561_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807561_se_18_1_20170611.tif,31637,3129,12370,46494064,0.6711855057705364,0.7189083554888995,0.909998274175919
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807561_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807561_sw_18_1_20170611.tif,103757,20498,9858,46489443,0.7736535608032032,0.9132332878581173,0.8350327954609472
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807562_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807562_se_18_1_20170611.tif,0,0,0,46458916,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807562_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807562_sw_18_1_20170611.tif,0,0,0,46541200,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38075/m_3807563_sw_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38075/m_3807563_sw_18_1_20170611.tif,0,0,0,46368028,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/md/2017/md_100cm_2017/38076/m_3807664_se_18_1_20170611.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/md/2017/md_100cm_2017/38076/m_3807664_se_18_1_20170611.tif,0,0,0,47164936,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_nw_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_nw_18_1_20160626.tif,0,9,0,46795650,0.0,nan,0.0
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_se_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_se_18_1_20160626.tif,0,0,0,46771007,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707501_sw_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707501_sw_18_1_20160626.tif,0,0,0,46833624,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707502_se_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707502_se_18_1_20160626.tif,0,0,0,46645893,nan,nan,nan
https://naipblobs.blob.core.windows.net/naip/v002/va/2016/va_100cm_2016/37075/m_3707503_ne_18_1_20160626.tif,https://landcover.blob.core.windows.net/poultry/test-all/v002/va/2016/va_100cm_2016/37075/m_3707503_ne_18_1_20160626.tif,24030,15075,3446,46461809,0.564734083805316,0.8745814529043529,0.6144994246260069
